BRCA_BRCA.Basal	BRCA_BRCA.LumA	BRCA_BRCA.LumB	COAD_GI.CIN	COAD_GI.MSI	ESCA_GI.ESCC	GBM_GBM_LGG.Classic-like	GBM_GBM_LGG.Mesenchymal-like	KICH_KICH.Eosin.0	LUAD_LUAD.3	LUAD_LUAD.6	LUSC_LUSC.classical	LUSC_LUSC.secretory	READ_GI.CIN
ARSA	-0.28623651513689	-0.185337464337665	-0.215248097412481	-0.230657739446243	-0.0691018522070921	-0.0385315764213009	-0.310935441370224	-0.14211990485022	-0.0928798298261448	-0.196619901257369	-0.436440518301007	-0.205292947835399	-0.250114521456242	-0.128110739792024
ARSB	-0.0923278790834129	0.0897604614466693	-0.0892476260653338	-0.207106013665714	-0.178645177593789	-0.417742088465876	-0.0629776021080369	0.0478571140587832	0.489576908844209	-0.173693115049595	0.0101177891875566	-0.14578712152711	-0.454827343199436	0.104698142174564
ATG10	-0.0406454679466165	0.0205748818039753	-0.031129057464583	0.121798815837275	0.267242574485274	0.203916460646619	0.288688320015117	0.248624130682513	-0.217768047221857	0.240165419327528	0.559800664451827	0.0912438671277659	0.549388592420678	0.00355968480421425
ATG16L1	0.138561913985722	0.0448827192763563	0.0026971053301837	0.110952877364168	0.170274115779247	0.231469128391336	0.305553726204955	0.260694270854332	0.026397754969841	0.288521676762508	0.422983992751435	0.123997464979567	0.31092318534179	0.0858793194116949
ATG2B	-0.192060016921426	-0.0766158218020195	-0.0686944486348533	-0.24558744282683	-0.505798360633908	-0.167012316966236	-0.363372859025033	-0.397137385424917	-0.179695932487457	-0.457910386815172	-0.401993355481728	-0.190948129867055	-0.384509672883983	-0.284312755341189
ATG3	0.00553021523520852	0.0097646842473938	0.0483218439172237	0.232712358627631	0.561654012308591	0.0819201537741695	0.565085638998682	0.179571431487692	-0.054214080884323	0.270061517429939	0.198882512836001	-0.212854301885968	0.0290345313601128	0.343424862033899
ATG7	0.0709494643642913	0.100322089304019	0.173699262133281	0.118207969626004	0.256909729675227	-0.0479276658983372	0.395599328255718	0.330692470584281	0.0295115332428765	0.337736461711336	0.0937783147085473	0.300359496067845	0.2111420417816	0.0462716359338864
ATP6V0A1	-0.106101215600381	0.16164599113388	0.137453898252927	-0.0328625575915201	-0.499143792653862	-0.178203798795199	-0.588359300691394	-0.407249123089949	0.174355495251018	-0.409432672590567	-0.279986408626321	-0.112481833982916	-0.239323467230444	0.0208370441373976
ATP6V0B	0.171496550607246	0.143142181940716	0.0465026685297062	0.308600728564166	0.497683203381175	0.0820966773118747	0.462845849802371	0.342304203274878	-0.240932644320426	0.490704032809296	0.367109634551495	0.262065800559794	0.436363636363636	0.235464253310025
ATP6V0C	-0.0780137223553486	0.208971478656902	0.0258444193622269	-0.20106901223609	-0.103827751229094	0.164622271694288	0.112911725955204	0.149181517740805	0.0291160328222996	0.120642515379357	0.224940537027457	0.0438378915879708	0.201416540524638	-0.22301889780165
ATP6V0E1	-0.0187717436534817	0.193576461327122	-0.0223366296984217	0.0497334845493299	0.475849912011875	0.151776116949303	0.136170493173117	0.323946217333544	-0.322859169415583	0.128366370471634	0.162186650558744	0.053324591625658	0.121075443184509	-0.0325110617906557
ATP6V1A	-0.144343220659761	0.105393544255763	0.0492891908989489	-0.0604504980015965	0.0421189151074064	-0.135109672282076	-0.138471673254282	-0.350012096083224	-0.145134927375238	-0.0244019138755981	0.0359421603306712	-0.234661654970903	-0.182804792107118	0.0391947864687242
ATP6V1B2	-0.0559051263570899	-0.133440766095782	-0.176779021403366	-0.104567998750525	0.0361122653297996	-0.0769240496786259	0.0561264822134387	-0.0532427475118481	0.439113139682703	-0.144260838381254	-0.345527995111662	0.107453097177494	-0.199295278365046	-0.02187766826692
ATP6V1C1	0.0846929478057046	0.380138301221684	0.282897440520037	0.267456352534145	0.0413497859612351	0.125282159908925	-0.384848484848485	-0.258638067975648	0.260515603799186	0.199935063854616	-0.0460585925702205	0.188902729517691	0.29986962208969	0.0206844295669642
ATP6V1D	0.00678592696652696	0.126637017393215	0.0811723596050645	0.140006489720443	0.386476958067646	0.189787298631731	0.375889328063241	0.0874473360792106	-0.315231134698265	0.232330827067669	0.132744365254874	0.0046547711406968	0.227906976744186	-0.101504960464158
ATP6V1E1	-0.071234930569486	0.122048277463762	0.0700519162401469	0.102297601786778	0.390254344117698	0.151295572669676	0.191843995409407	0.0525753452379788	-0.29389995738381	0.382911825017088	0.340531561461794	0.0918497798326228	0.10077519379845	0.0268027537851479
ATP6V1G1	0.0115247385026753	-0.0383919701592326	-0.0352362590901404	0.0244633932746241	0.1139763284169	0.419623662746317	0.428722002635046	0.249808490908358	-0.14567208369811	0.291387559808612	0.146632437330112	-0.122161760527984	0.130307621913945	-0.234312710987464
ATP6V1H	0.00619132407166281	0.314720658019096	0.313085657925999	0.278723359985113	0.254649391223803	0.118654998871371	0.0550724637681159	0.0993428214328912	0.250716995215896	0.437183868762816	0.0759589247961341	0.0362984735431802	0.260183227625088	0.0639083501557844
CD63	-0.191740837944612	-0.0105201592936641	-0.181866920597297	-0.127152000452539	0.0503941371178457	-0.126066200881405	0.37488058054878	0.342889981035393	0.127016951249629	0.0797470529507473	-0.151214178454028	0.0853174820029735	0.171078142872642	-0.123929835722057
CLCN7	-0.131079896296019	0.139920218714783	-0.0336713012102189	-0.0458025078626253	-0.313098880645326	-0.0419206353254389	-0.66034255599473	-0.465979881101422	-0.12094113299407	-0.363226247436774	-0.178797946239807	-0.0696467400253554	-0.134178999295278	-0.164632905096272
CLN3	0.0090381193004306	0.103035422283781	0.0404410757453349	0.121529982683013	0.0570392475397462	0.286836164985216	0.00349212631188113	0.0510432416190807	0.0734550388553102	0.0269665225844412	0.413334843802718	0.275744132239457	0.410091969668603	0.0215470566123372
CTSS	0.0447115194924906	-0.112799226892498	-0.0957867806031242	-0.115357882115071	-0.072881121176308	-0.244012241097939	-0.0849802371541502	0.190908174617968	0.235598865178241	-0.0253255408740142	-0.367562669888251	0.0300046984797029	-0.00197322057787174	0.0276990845193868
GAA	0.361417415676295	0.401441070501001	0.325120345165655	0.174854376910264	-0.0600611944292692	0.184845150928841	-0.313570487483531	0.0272542181602335	0.487834212462517	0.186059228653766	0.233917245545153	0.482965099761795	0.198731501057082	0.10263558177406
GABARAPL1	-0.166378089813995	-0.141461549932956	-0.0167403968407259	-0.244241623084628	-0.308310249405239	-0.146692464306941	-0.287220026350461	-0.198480053258623	-0.394003895553563	-0.176965140123035	0.258230141951072	-0.287022366957332	-0.0324171952078929	-0.365485419599993
GABARAP	0.0238876595947744	-0.10413201797374	-0.0803338678619589	-0.282626256294565	-0.0972815069518939	0.169429796274517	0.391040843214756	0.250771060586764	0.143266829140859	0.262688403721556	0.178193899124132	0.157695753840774	0.243269908386187	-0.407165515954469
GALNS	-0.0943224224673764	0.0255627181129602	0.0217267406168764	0.167197248822267	-0.163535633393582	0.227926857045463	-0.0442687747035573	0.0256224171002573	0.156958278159056	-0.144602607721176	0.335548172757475	0.0934689729832781	-0.127977448907681	0.208355244929233
GNS	-0.132434686703713	0.155303311555624	0.0289484774872454	-0.191732305655192	-0.186761020954907	-0.204620754208424	-0.253631542678521	-0.192202241910924	0.32788503115474	-0.206493506493507	-0.287828450619148	-0.114403723857602	-0.174424750804226	-0.092469761997659
HIF1A	-0.0810616508431465	-0.138146698696454	-0.019280190873997	-0.165477325523298	-0.309530705037319	0.097231092246458	0.119371520865839	0.0271343614610121	0.639282080052341	0.160187289621639	0.0247659317426759	-0.206429336305426	-0.0250880902043693	0.128754272729591
HPS4	0.130530728832975	-0.134180486942242	0.082940018900759	-0.103450637211684	-0.260110803406576	-0.0127849261802688	-0.227667984189723	-0.485536315538005	-0.402972648130166	-0.181613123718387	-0.101479915433404	-0.0508746817631087	-0.235244370983639	0.0607557358743717
MAP1LC3A	-0.143862804290577	-0.0475795030948524	-0.0412610062723277	0.0217911081448806	0.126166282637584	-0.254016629261187	0.13570487483531	0.0984941641500745	-0.394153381420247	-0.247915242652085	-0.38713331095662	-0.184750540877204	-0.130514446793517	-0.159888265950896
NEU1	0.246962030369149	0.148381895657379	0.096542871638762	0.247617457300705	0.269532479654704	0.207429420509347	0.519499341238472	0.524140711728317	-0.0589595732495315	0.140123034859877	0.159921473874962	0.0941454140169147	0.401409443269908	0.0385301543425311
PLBD2	-0.2011532986093	0.0456532024187145	-0.208421655763668	-0.203355783005237	-0.379254334635134	0.000252918041908519	-0.482492835994152	-0.222186385031134	0.261802707577679	-0.26555023923445	0.0518009515937315	-0.0783006807376368	-0.370837591406803	-0.070551913080681
PPARGC1A	-0.0360755922171378	-0.207224019631082	-0.237477362760689	-0.00668357929697714	-0.199652471731849	-0.346993360844468	-0.206989690154782	-0.14022497278555	0.0835697545331195	-0.166077074860761	0.382210812443371	-0.258749740500821	-0.343376680214694	-0.169484576900205
PSAP	0.00919930118701076	-0.0781049726269038	-0.0486580875453828	-0.182554188654408	-0.131051334463539	-0.319065116269756	-0.236267837304925	-0.218331490676722	0.499691533177812	0.0208829316806275	-0.290381457330353	-0.106220633407389	-0.154253123384277	-0.0734736928086757
RRAGD	0.0580874465857795	-0.0834687752404453	0.0810177480855573	0.00550113362678886	-0.0524334194166229	-0.302766273598414	-0.0789196310935441	-0.0425746366526724	-0.0557234488713458	-0.0912524137592864	-0.3063389589528	-0.301467454863438	0.0479261376325928	-0.048866897645973
SCPEP1	-0.000378040091519093	-0.0486824200965848	0.0488015740217663	0.114260926273801	0.0153615633550751	-0.0365843634416595	-0.104944168178411	0.172274074258399	0.442936877696794	0.237525632262474	0.168535508105164	0.181800301580017	0.0263575178993053	0.00648865968888361
SGSH	0.26031742536239	0.153740698432483	0.288934069970687	0.122558546553665	-0.297971467089867	0.0209667731027554	-0.0521773503998112	0.12256581865097	0.183483409399285	0.0432003828134332	0.0196330137235717	0.259771195067901	0.280056377730796	0.0944149462529757
SLC36A1	-0.0158704306332963	0.144349642627408	0.0262872705725984	-0.00499137025785762	-0.398504098650275	0.124789761877664	0.043018544771188	-0.248236100471717	0.05495420485544	-0.265901090418125	-0.26940501359106	0.029174269825494	-0.397406533246477	-0.0126409418366021
STK4	-0.180670965800538	0.00172864306171191	-0.00166413157192533	-0.0855739790375308	-0.290380256954325	-0.230512418451332	-0.341765480895916	-0.24919870184675	0.0090659594850221	-0.32349020833002	-0.450166112956811	0.0587206888262418	-0.265116279069767	-0.175551390037895
TFEB	-0.0496815561312009	-0.141388234797862	-0.146434702021344	-0.0723744511127464	-0.128234508994388	-0.274502861122746	-0.180111334463136	0.127812273307663	-0.281168090423236	-0.187326976424389	-0.41363687876348	-0.113354749885268	-0.340380549682875	-0.163662632077385
TPP1	-0.177586198195572	-0.0917352772092648	-0.156934564570886	-0.203701191826993	-0.301712415104481	-0.138597334288631	-0.2300395256917	-0.126718542111841	0.268519090130203	-0.507450444292549	-0.33090428756742	-0.131622941692098	-0.260756193121469	-0.116332196757649
ULK1	-0.132725348322848	-0.00590481841973126	-0.12265812774694	-0.457843586811381	-0.446713674279141	-0.163977338843127	-0.584716732542819	-0.418417126960448	-0.00567410879486863	-0.279767600820232	-0.0155542132286318	-0.250680186642878	-0.469924944792961	-0.417409300649033
VPS18	-0.0218561610526412	0.10169544420442	-0.168541294463962	-0.206786839309223	-0.00501139525845894	-0.270459618223208	-0.0202905234142816	0.0193932063339477	0.158258295300358	-0.0569387720310753	0.351555421322863	-0.282089666417618	0.122057787174066	0.114927677189899
VPS26A	0.131448941578044	0.13059188697683	0.0990562798944279	0.287949753172719	0.496852178450164	0.237132957352226	0.374308300395257	0.442253805149839	0.16997132204572	0.306493506493506	0.636665659921474	-0.0101401925331403	0.176398040914334	0.131665031539177
VPS33A	0.0627615101163459	0.20349087646799	0.0726801775222003	0.178765730612467	0.183860285336727	0.32208908982339	0.345016141469459	0.208446729202723	-0.211607252991242	0.476502956633612	0.64378751886408	0.474070674621386	0.331019415970687	0.0847156682933142
VPS8	-0.0927464900521664	0.00361942102214769	0.00116996646366895	-0.185462985182581	-0.235941474224987	0.143303362545367	-0.445849802371541	-0.425135577254772	-0.179558353204496	-0.36971975393028	-0.207037148897614	-0.0182475770069569	-0.194221282593376	-0.0285812837688063
WDR45	-0.0649193589086268	-0.0384983808887648	0.0501158298809929	0.0194607060353168	0.0810123394867804	0.0572357147836649	-0.072068511198946	0.0566878338992318	-0.418144253798978	0.268254754905108	0.210661431591664	0.0529289000129937	0.305366644539277	-0.322558574158401
WIPI1	0.239535523889047	0.131466644050722	0.0771351259935735	0.163419443096835	0.0323596071621115	0.180153521251438	0.220421607378129	0.250609793023685	0.168182799426226	0.319280917355526	-0.0544418016773401	0.296397469395637	0.122903453136011	0.206884559938589
ATP6V0D2	0.0799921451811018	0.141585793932649	-0.0494308115745587	0.0639793752181442	0.24114433331386	NA	NA	NA	0.137420194405797	0.272672898832284	-0.491637407380252	-0.0129389009426008	-0.1583565313362	0.150990899226423
IFI30	NA	NA	NA	0.10838159115089	0.30646969884179	NA	0.262373981655441	0.262776961477041	-0.125720986243645	0.144661507624198	-0.0127614589203216	0.450268310849845	0.260581501842947	0.0981115547716147
